old,new
add.edges,<a href='https://r.igraph.org/reference/add_edges.html'>igraph::add_edges</a>
add.vertex.shape,<a href='https://r.igraph.org/reference/shapes.html'>igraph::add_shape</a>
add.vertices,<a href='https://r.igraph.org/reference/add_vertices.html'>igraph::add_vertices</a>
adjacent.triangles,<a href='https://r.igraph.org/reference/count_triangles.html'>igraph::count_triangles</a>
articulation.points,<a href='https://r.igraph.org/reference/articulation_points.html'>igraph::articulation_points</a>
aging.prefatt.game,<a href='https://r.igraph.org/reference/sample_pa_age.html'>igraph::sample_pa_age</a>
aging.ba.game,<a href='https://r.igraph.org/reference/sample_pa_age.html'>igraph::sample_pa_age</a>
aging.barabasi.game,<a href='https://r.igraph.org/reference/sample_pa_age.html'>igraph::sample_pa_age</a>
alpha.centrality,<a href='https://r.igraph.org/reference/alpha_centrality.html'>igraph::alpha_centrality</a>
are.connected,<a href='https://r.igraph.org/reference/are_adjacent.html'>igraph::are_adjacent</a>
assortativity.degree,<a href='https://r.igraph.org/reference/assortativity.html'>igraph::assortativity_degree</a>
assortativity.nominal,<a href='https://r.igraph.org/reference/assortativity.html'>igraph::assortativity_nominal</a>
asymmetric.preference.game,<a href='https://r.igraph.org/reference/sample_pref.html'>igraph::sample_asym_pref</a>
authority.score,<a href='https://r.igraph.org/reference/hub_score.html'>igraph::authority_score</a>
automorphisms,<a href='https://r.igraph.org/reference/count_automorphisms.html'>igraph::count_automorphisms</a>
autocurve.edges,<a href='https://r.igraph.org/reference/curve_multiple.html'>igraph::curve_multiple</a>
average.path.length,<a href='https://r.igraph.org/reference/distances.html'>igraph::mean_distance</a>
ba.game,<a href='https://r.igraph.org/reference/sample_pa.html'>igraph::sample_pa</a>
barabasi.game,<a href='https://r.igraph.org/reference/sample_pa.html'>igraph::sample_pa</a>
biconnected.components,<a href='https://r.igraph.org/reference/biconnected_components.html'>igraph::biconnected_components</a>
bipartite.mapping,<a href='https://r.igraph.org/reference/bipartite_mapping.html'>igraph::bipartite_mapping</a>
bipartite.projection,<a href='https://r.igraph.org/reference/bipartite_projection.html'>igraph::bipartite_projection</a>
bipartite.projection.size,<a href='https://r.igraph.org/reference/bipartite_projection.html'>igraph::bipartite_projection_size</a>
bipartite.random.game,<a href='https://r.igraph.org/reference/sample_bipartite.html'>igraph::sample_bipartite</a>
blockGraphs,<a href='https://r.igraph.org/reference/cohesive_blocks.html'>igraph::graphs_from_cohesive_blocks</a>
bonpow,<a href='https://r.igraph.org/reference/power_centrality.html'>igraph::power_centrality</a>
callaway.traits.game,<a href='https://r.igraph.org/reference/sample_traits_callaway.html'>igraph::sample_traits_callaway</a>
canonical.permutation,<a href='https://r.igraph.org/reference/canonical_permutation.html'>igraph::canonical_permutation</a>
centralization.betweenness,<a href='https://r.igraph.org/reference/centr_betw.html'>igraph::centr_betw</a>
centralization.betweenness.tmax,<a href='https://r.igraph.org/reference/centr_betw_tmax.html'>igraph::centr_betw_tmax</a>
centralization.closeness,<a href='https://r.igraph.org/reference/centr_clo.html'>igraph::centr_clo</a>
centralization.closeness.tmax,<a href='https://r.igraph.org/reference/centr_clo_tmax.html'>igraph::centr_clo_tmax</a>
centralization.degree,<a href='https://r.igraph.org/reference/centr_degree.html'>igraph::centr_degree</a>
centralization.degree.tmax,<a href='https://r.igraph.org/reference/centr_degree_tmax.html'>igraph::centr_degree_tmax</a>
centralization.evcent,<a href='https://r.igraph.org/reference/centr_eigen.html'>igraph::centr_eigen</a>
centralization.evcent.tmax,<a href='https://r.igraph.org/reference/centr_eigen_tmax.html'>igraph::centr_eigen_tmax</a>
centralize.scores,<a href='https://r.igraph.org/reference/centralize.html'>igraph::centralize</a>
cited.type.game,<a href='https://r.igraph.org/reference/sample_last_cit.html'>igraph::sample_cit_types</a>
citing.cited.type.game,<a href='https://r.igraph.org/reference/sample_last_cit.html'>igraph::sample_cit_cit_types</a>
clique.number,<a href='https://r.igraph.org/reference/cliques.html'>igraph::clique_num</a>
cluster.distribution,<a href='https://r.igraph.org/reference/components.html'>igraph::component_distribution</a>
clusters,<a href='https://r.igraph.org/reference/components.html'>igraph::components</a>
code.length,<a href='https://r.igraph.org/reference/communities.html'>igraph::code_len</a>
cohesive.blocks,<a href='https://r.igraph.org/reference/cohesive_blocks.html'>igraph::cohesive_blocks</a>
connect.neighborhood,<a href='https://r.igraph.org/reference/ego.html'>igraph::connect</a>
contract.vertices,<a href='https://r.igraph.org/reference/contract.html'>igraph::contract</a>
convex.hull,<a href='https://r.igraph.org/reference/convex_hull.html'>igraph::convex_hull</a>
count.multiple,<a href='https://r.igraph.org/reference/which_multiple.html'>igraph::count_multiple</a>
cutat,<a href='https://r.igraph.org/reference/communities.html'>igraph::cut_at</a>
decompose.graph,<a href='https://r.igraph.org/reference/decompose.html'>igraph::decompose</a>
degree.distribution,<a href='https://r.igraph.org/reference/degree.html'>igraph::degree_distribution</a>
degree.sequence.game,<a href='https://r.igraph.org/reference/sample_degseq.html'>igraph::sample_degseq</a>
delete.edges,<a href='https://r.igraph.org/reference/delete_edges.html'>igraph::delete_edges</a>
delete.vertices,<a href='https://r.igraph.org/reference/delete_vertices.html'>igraph::delete_vertices</a>
dendPlot,<a href='https://r.igraph.org/reference/plot_dendrogram.communities.html'>igraph::plot_dendrogram</a>
dominator.tree,<a href='https://r.igraph.org/reference/dominator_tree.html'>igraph::dominator_tree</a>
dyad.census,<a href='https://r.igraph.org/reference/dyad_census.html'>igraph::dyad_census</a>
edge.betweenness,<a href='https://r.igraph.org/reference/betweenness.html'>igraph::edge_betweenness</a>
edge.betweenness.community,<a href='https://r.igraph.org/reference/cluster_edge_betweenness.html'>igraph::cluster_edge_betweenness</a>
edge.connectivity,<a href='https://r.igraph.org/reference/edge_connectivity.html'>igraph::edge_connectivity</a>
edge.disjoint.paths,<a href='https://r.igraph.org/reference/edge_connectivity.html'>igraph::edge_connectivity</a>
establishment.game,<a href='https://r.igraph.org/reference/sample_traits_callaway.html'>igraph::sample_traits</a>
evcent,<a href='https://r.igraph.org/reference/eigen_centrality.html'>igraph::eigen_centrality</a>
farthest.nodes,<a href='https://r.igraph.org/reference/diameter.html'>igraph::farthest_vertices</a>
fastgreedy.community,<a href='https://r.igraph.org/reference/cluster_fast_greedy.html'>igraph::cluster_fast_greedy</a>
forest.fire.game,<a href='https://r.igraph.org/reference/sample_forestfire.html'>igraph::sample_forestfire</a>
get.adjedgelist,<a href='https://r.igraph.org/reference/as_adj_list.html'>igraph::as_adj_edge_list</a>
get.adjlist,<a href='https://r.igraph.org/reference/as_adj_list.html'>igraph::as_adj_list</a>
get.adjacency,<a href='https://r.igraph.org/reference/as_adjacency_matrix.html'>igraph::as_adjacency_matrix</a>
get.data.frame,<a href='https://r.igraph.org/reference/graph_from_data_frame.html'>igraph::as_data_frame</a>
get.edge.attribute,<a href='https://r.igraph.org/reference/edge_attr.html'>igraph::edge_attr</a>
get.edgelist,<a href='https://r.igraph.org/reference/as_edgelist.html'>igraph::as_edgelist</a>
get.graph.attribute,<a href='https://r.igraph.org/reference/graph_attr.html'>igraph::graph_attr</a>
get.incidence,<a href='https://r.igraph.org/reference/as_biadjacency_matrix.html'>igraph::as_biadjacency_matrix</a>
get.stochastic,<a href='https://r.igraph.org/reference/stochastic_matrix.html'>igraph::stochastic_matrix</a>
get.vertex.attribute,<a href='https://r.igraph.org/reference/vertex_attr.html'>igraph::vertex_attr</a>
graph.adhesion,<a href='https://r.igraph.org/reference/edge_connectivity.html'>igraph::adhesion</a>
graph.adjacency,<a href='https://r.igraph.org/reference/graph_from_adjacency_matrix.html'>igraph::graph_from_adjacency_matrix</a>
graph.adjlist,<a href='https://r.igraph.org/reference/graph_from_adj_list.html'>igraph::graph_from_adj_list</a>
graph.atlas,<a href='https://r.igraph.org/reference/graph_from_atlas.html'>igraph::graph_from_atlas</a>
graph.automorphisms,<a href='https://r.igraph.org/reference/count_automorphisms.html'>igraph::count_automorphisms</a>
graph.bfs,<a href='https://r.igraph.org/reference/bfs.html'>igraph::bfs</a>
graph.bipartite,<a href='https://r.igraph.org/reference/make_bipartite_graph.html'>igraph::make_bipartite_graph</a>
graph.cohesion,<a href='https://r.igraph.org/reference/vertex_connectivity.html'>igraph::cohesion</a>
graph.complementer,<a href='https://r.igraph.org/reference/complementer.html'>igraph::complementer</a>
graph.compose,<a href='https://r.igraph.org/reference/compose.html'>igraph::compose</a>
graph.coreness,<a href='https://r.igraph.org/reference/coreness.html'>igraph::coreness</a>
graph.data.frame,<a href='https://r.igraph.org/reference/graph_from_data_frame.html'>igraph::graph_from_data_frame</a>
graph.de.bruijn,<a href='https://r.igraph.org/reference/make_de_bruijn_graph.html'>igraph::make_de_bruijn_graph</a>
graph.density,<a href='https://r.igraph.org/reference/edge_density.html'>igraph::edge_density</a>
graph.disjoint.union,<a href='https://r.igraph.org/reference/disjoint_union.html'>igraph::disjoint_union</a>
graph.dfs,<a href='https://r.igraph.org/reference/dfs.html'>igraph::dfs</a>
graph.difference,<a href='https://r.igraph.org/reference/difference.html'>igraph::difference</a>
graph.diversity,<a href='https://r.igraph.org/reference/diversity.html'>igraph::diversity</a>
graph.edgelist,<a href='https://r.igraph.org/reference/graph_from_edgelist.html'>igraph::graph_from_edgelist</a>
graph.eigen,<a href='https://r.igraph.org/reference/spectrum.html'>igraph::spectrum</a>
graph.empty,<a href='https://r.igraph.org/reference/make_empty_graph.html'>igraph::make_empty_graph</a>
graph.extended.chordal.ring,<a href='https://r.igraph.org/reference/make_chordal_ring.html'>igraph::make_chordal_ring</a>
graph.formula,<a href='https://r.igraph.org/reference/graph_from_literal.html'>igraph::graph_from_literal</a>
graph.full,<a href='https://r.igraph.org/reference/make_full_graph.html'>igraph::make_full_graph</a>
graph.full.bipartite,<a href='https://r.igraph.org/reference/make_full_bipartite_graph.html'>igraph::make_full_bipartite_graph</a>
graph.full.citation,<a href='https://r.igraph.org/reference/make_full_citation_graph.html'>igraph::make_full_citation_graph</a>
graph.graphdb,<a href='https://r.igraph.org/reference/graph_from_graphdb.html'>igraph::graph_from_graphdb</a>
graph.incidence,<a href='https://r.igraph.org/reference/graph_from_biadjacency_matrix.html'>igraph::graph_from_biadjacency_matrix</a>
graph.isocreate,<a href='https://r.igraph.org/reference/graph_from_isomorphism_class.html'>igraph::graph_from_isomorphism_class</a>
graph.kautz,<a href='https://r.igraph.org/reference/make_kautz_graph.html'>igraph::make_kautz_graph</a>
graph.knn,<a href='https://r.igraph.org/reference/knn.html'>igraph::knn</a>
graph.laplacian,<a href='https://r.igraph.org/reference/laplacian_matrix.html'>igraph::laplacian_matrix</a>
graph.lattice,<a href='https://r.igraph.org/reference/make_lattice.html'>igraph::make_lattice</a>
graph.lcf,<a href='https://r.igraph.org/reference/graph_from_lcf.html'>igraph::graph_from_lcf</a>
graph.maxflow,<a href='https://r.igraph.org/reference/max_flow.html'>igraph::max_flow</a>
graph.mincut,<a href='https://r.igraph.org/reference/min_cut.html'>igraph::min_cut</a>
graph.motifs,<a href='https://r.igraph.org/reference/motifs.html'>igraph::motifs</a>
graph.motifs.est,<a href='https://r.igraph.org/reference/sample_motifs.html'>igraph::sample_motifs</a>
graph.motifs.no,<a href='https://r.igraph.org/reference/count_motifs.html'>igraph::count_motifs</a>
graph.neighborhood,<a href='https://r.igraph.org/reference/ego.html'>igraph::make_ego_graph</a>
graph.star,<a href='https://r.igraph.org/reference/make_star.html'>igraph::make_star</a>
graph.strength,<a href='https://r.igraph.org/reference/strength.html'>igraph::strength</a>
graph.tree,<a href='https://r.igraph.org/reference/make_tree.html'>igraph::make_tree</a>
graph.union,<a href='https://r.igraph.org/reference/union.igraph.html'>igraph::union.igraph</a>
graph.ring,<a href='https://r.igraph.org/reference/make_ring.html'>igraph::make_ring</a>
graphlets.candidate.basis,<a href='https://r.igraph.org/reference/graphlet_basis.html'>igraph::graphlet_basis</a>
graphlets.project,<a href='https://r.igraph.org/reference/graphlet_basis.html'>igraph::graphlet_proj</a>
growing.random.game,<a href='https://r.igraph.org/reference/sample_growing.html'>igraph::sample_growing</a>
grg.game,<a href='https://r.igraph.org/reference/sample_grg.html'>igraph::sample_grg</a>
has.multiple,<a href='https://r.igraph.org/reference/which_multiple.html'>igraph::any_multiple</a>
hrg.consensus,<a href='https://r.igraph.org/reference/consensus_tree.html'>igraph::consensus_tree</a>
hrg.create,<a href='https://r.igraph.org/reference/hrg.html'>igraph::hrg</a>
hrg.dendrogram,<a href='https://r.igraph.org/reference/hrg_tree.html'>igraph::hrg_tree</a>
hrg.game,<a href='https://r.igraph.org/reference/sample_hrg.html'>igraph::sample_hrg</a>
hrg.fit,<a href='https://r.igraph.org/reference/fit_hrg.html'>igraph::fit_hrg</a>
hrg.predict,<a href='https://r.igraph.org/reference/predict_edges.html'>igraph::predict_edges</a>
hub.score,<a href='https://r.igraph.org/reference/hub_score.html'>igraph::hub_score</a>
igraph.console,<a href='https://r.igraph.org/reference/console.html'>igraph::console</a>
igraph.sample,<a href='https://r.igraph.org/reference/sample_seq.html'>igraph::sample_seq</a>
igraph.version,<a href='https://r.igraph.org/reference/igraph_version.html'>igraph::igraph_version</a>
igraphdemo,<a href='https://r.igraph.org/reference/igraph_demo.html'>igraph::igraph_demo</a>
igraphtest,<a href='https://r.igraph.org/reference/igraph_test.html'>igraph::igraph_test</a>
independence.number,<a href='https://r.igraph.org/reference/ivs.html'>igraph::ivs_size</a>
independent.vertex.sets,<a href='https://r.igraph.org/reference/ivs.html'>igraph::ivs</a>
infomap.community,<a href='https://r.igraph.org/reference/cluster_infomap.html'>igraph::cluster_infomap</a>
induced.subgraph,<a href='https://r.igraph.org/reference/subgraph.html'>igraph::induced_subgraph</a>
interconnected.islands.game,<a href='https://r.igraph.org/reference/sample_islands.html'>igraph::sample_islands</a>
is.bipartite,<a href='https://r.igraph.org/reference/make_bipartite_graph.html'>igraph::is_bipartite</a>
is.chordal,<a href='https://r.igraph.org/reference/is_chordal.html'>igraph::is_chordal</a>
is.connected,<a href='https://r.igraph.org/reference/components.html'>igraph::is_connected</a>
is.dag,<a href='https://r.igraph.org/reference/is_dag.html'>igraph::is_dag</a>
is.degree.sequence,<a href='https://r.igraph.org/reference/is_degseq.html'>igraph::is_degseq</a>
is.directed,<a href='https://r.igraph.org/reference/is_directed.html'>igraph::is_directed</a>
is.graphical.degree.sequence,<a href='https://r.igraph.org/reference/is_graphical.html'>igraph::is_graphical</a>
is.hierarchical,<a href='https://r.igraph.org/reference/communities.html'>igraph::is_hierarchical</a>
is.igraph,<a href='https://r.igraph.org/reference/is_igraph.html'>igraph::is_igraph</a>
is.loop,<a href='https://r.igraph.org/reference/which_multiple.html'>igraph::which_loop</a>
is.matching,<a href='https://r.igraph.org/reference/matching.html'>igraph::is_matching</a>
is.maximal.matching,<a href='https://r.igraph.org/reference/matching.html'>igraph::is_max_matching</a>
is.minimal.separator,<a href='https://r.igraph.org/reference/is_min_separator.html'>igraph::is_min_separator</a>
is.multiple,<a href='https://r.igraph.org/reference/which_multiple.html'>igraph::which_multiple</a>
is.mutual,<a href='https://r.igraph.org/reference/which_mutual.html'>igraph::which_mutual</a>
is.named,<a href='https://r.igraph.org/reference/is_named.html'>igraph::is_named</a>
is.separator,<a href='https://r.igraph.org/reference/is_separator.html'>igraph::is_separator</a>
is.simple,<a href='https://r.igraph.org/reference/simplify.html'>igraph::is_simple</a>
is.weighted,<a href='https://r.igraph.org/reference/is_weighted.html'>igraph::is_weighted</a>
k.regular.game,<a href='https://r.igraph.org/reference/sample_k_regular.html'>igraph::sample_k_regular</a>
label.propagation.community,<a href='https://r.igraph.org/reference/cluster_label_prop.html'>igraph::cluster_label_prop</a>
largest.cliques,<a href='https://r.igraph.org/reference/cliques.html'>igraph::largest_cliques</a>
largest.independent.vertex.sets,<a href='https://r.igraph.org/reference/ivs.html'>igraph::largest_ivs</a>
lastcit.game,<a href='https://r.igraph.org/reference/sample_last_cit.html'>igraph::sample_last_cit</a>
layout.auto,<a href='https://r.igraph.org/reference/layout_nicely.html'>igraph::layout_nicely</a>
layout.bipartite,<a href='https://r.igraph.org/reference/layout_as_bipartite.html'>igraph::layout_as_bipartite</a>
layout.davidson.harel,<a href='https://r.igraph.org/reference/layout_with_dh.html'>igraph::layout_with_dh</a>
layout.drl,<a href='https://r.igraph.org/reference/layout_with_drl.html'>igraph::layout_with_drl</a>
layout.gem,<a href='https://r.igraph.org/reference/layout_with_gem.html'>igraph::layout_with_gem</a>
layout.graphopt,<a href='https://r.igraph.org/reference/layout_with_graphopt.html'>igraph::layout_with_graphopt</a>
layout.grid,<a href='https://r.igraph.org/reference/layout_on_grid.html'>igraph::layout_on_grid</a>
layout.mds,<a href='https://r.igraph.org/reference/layout_with_mds.html'>igraph::layout_with_mds</a>
layout.merge,<a href='https://r.igraph.org/reference/merge_coords.html'>igraph::merge_coords</a>
layout.norm,<a href='https://r.igraph.org/reference/norm_coords.html'>igraph::norm_coords</a>
layout.star,<a href='https://r.igraph.org/reference/layout_as_star.html'>igraph::layout_as_star</a>
layout.sugiyama,<a href='https://r.igraph.org/reference/layout_with_sugiyama.html'>igraph::layout_with_sugiyama</a>
leading.eigenvector.community,<a href='https://r.igraph.org/reference/cluster_leading_eigen.html'>igraph::cluster_leading_eigen</a>
line.graph,<a href='https://r.igraph.org/reference/make_line_graph.html'>igraph::make_line_graph</a>
list.edge.attributes,<a href='https://r.igraph.org/reference/edge_attr_names.html'>igraph::edge_attr_names</a>
list.graph.attributes,<a href='https://r.igraph.org/reference/graph_attr_names.html'>igraph::graph_attr_names</a>
list.vertex.attributes,<a href='https://r.igraph.org/reference/vertex_attr_names.html'>igraph::vertex_attr_names</a>
maxcohesion,<a href='https://r.igraph.org/reference/cohesive_blocks.html'>igraph::max_cohesion</a>
maximal.cliques,<a href='https://r.igraph.org/reference/cliques.html'>igraph::max_cliques</a>
maximal.cliques.count,<a href='https://r.igraph.org/reference/cliques.html'>igraph::count_max_cliques</a>
maximal.independent.vertex.sets,<a href='https://r.igraph.org/reference/ivs.html'>igraph::maximal_ivs</a>
minimal.st.separators,<a href='https://r.igraph.org/reference/min_st_separators.html'>igraph::min_st_separators</a>
maximum.bipartite.matching,<a href='https://r.igraph.org/reference/matching.html'>igraph::max_bipartite_match</a>
maximum.cardinality.search,<a href='https://r.igraph.org/reference/max_cardinality.html'>igraph::max_cardinality</a>
minimum.size.separators,<a href='https://r.igraph.org/reference/min_separators.html'>igraph::min_separators</a>
minimum.spanning.tree,<a href='https://r.igraph.org/reference/mst.html'>igraph::mst</a>
mod.matrix,<a href='https://r.igraph.org/reference/modularity.igraph.html'>igraph::modularity_matrix</a>
multilevel.community,<a href='https://r.igraph.org/reference/cluster_louvain.html'>igraph::cluster_louvain</a>
neighborhood.size,<a href='https://r.igraph.org/reference/ego.html'>igraph::ego_size</a>
no.clusters,<a href='https://r.igraph.org/reference/components.html'>igraph::count_components</a>
optimal.community,<a href='https://r.igraph.org/reference/cluster_optimal.html'>igraph::cluster_optimal</a>
page.rank,<a href='https://r.igraph.org/reference/page_rank.html'>igraph::page_rank</a>
path.length.hist,<a href='https://r.igraph.org/reference/distances.html'>igraph::distance_table</a>
permute.vertices,<a href='https://r.igraph.org/reference/permute.html'>igraph::permute</a>
piecewise.layout,<a href='https://r.igraph.org/reference/merge_coords.html'>igraph::layout_components</a>
plotHierarchy,<a href='https://r.igraph.org/reference/cohesive_blocks.html'>igraph::plot_hierarchy</a>
power.law.fit,<a href='https://r.igraph.org/reference/fit_power_law.html'>igraph::fit_power_law</a>
preference.game,<a href='https://r.igraph.org/reference/sample_pref.html'>igraph::sample_pref</a>
read.graph,<a href='https://r.igraph.org/reference/read_graph.html'>igraph::read_graph</a>
remove.edge.attribute,<a href='https://r.igraph.org/reference/delete_edge_attr.html'>igraph::delete_edge_attr</a>
remove.graph.attribute,<a href='https://r.igraph.org/reference/delete_graph_attr.html'>igraph::delete_graph_attr</a>
remove.vertex.attribute,<a href='https://r.igraph.org/reference/delete_vertex_attr.html'>igraph::delete_vertex_attr</a>
running.mean,<a href='https://r.igraph.org/reference/running_mean.html'>igraph::running_mean</a>
sbm.game,<a href='https://r.igraph.org/reference/sample_sbm.html'>igraph::sample_sbm</a>
set.edge.attribute,<a href='https://r.igraph.org/reference/set_edge_attr.html'>igraph::set_edge_attr</a>
set.graph.attribute,<a href='https://r.igraph.org/reference/set_graph_attr.html'>igraph::set_graph_attr</a>
set.vertex.attribute,<a href='https://r.igraph.org/reference/set_vertex_attr.html'>igraph::set_vertex_attr</a>
shortest.paths,<a href='https://r.igraph.org/reference/distances.html'>igraph::distances</a>
showtrace,<a href='https://r.igraph.org/reference/communities.html'>igraph::show_trace</a>
spinglass.community,<a href='https://r.igraph.org/reference/cluster_spinglass.html'>igraph::cluster_spinglass</a>
stCuts,<a href='https://r.igraph.org/reference/st_cuts.html'>igraph::st_cuts</a>
stMincuts,<a href='https://r.igraph.org/reference/st_min_cuts.html'>igraph::st_min_cuts</a>
static.fitness.game,<a href='https://r.igraph.org/reference/sample_fitness.html'>igraph::sample_fitness</a>
static.power.law.game,<a href='https://r.igraph.org/reference/sample_fitness_pl.html'>igraph::sample_fitness_pl</a>
subgraph.centrality,<a href='https://r.igraph.org/reference/subgraph_centrality.html'>igraph::subgraph_centrality</a>
tkplot.canvas,<a href='https://r.igraph.org/reference/tkplot.html'>igraph::tk_canvas</a>
tkplot.center,<a href='https://r.igraph.org/reference/tkplot.html'>igraph::tk_center</a>
tkplot.close,<a href='https://r.igraph.org/reference/tkplot.html'>igraph::tk_close</a>
tkplot.export.postscript,<a href='https://r.igraph.org/reference/tkplot.html'>igraph::tk_postscript</a>
tkplot.fit.to.screen,<a href='https://r.igraph.org/reference/tkplot.html'>igraph::tk_fit</a>
tkplot.getcoords,<a href='https://r.igraph.org/reference/tkplot.html'>igraph::tk_coords</a>
tkplot.off,<a href='https://r.igraph.org/reference/tkplot.html'>igraph::tk_off</a>
tkplot.reshape,<a href='https://r.igraph.org/reference/tkplot.html'>igraph::tk_reshape</a>
tkplot.rotate,<a href='https://r.igraph.org/reference/tkplot.html'>igraph::tk_rotate</a>
tkplot.setcoords,<a href='https://r.igraph.org/reference/tkplot.html'>igraph::tk_set_coords</a>
topological.sort,<a href='https://r.igraph.org/reference/topo_sort.html'>igraph::topo_sort</a>
triad.census,<a href='https://r.igraph.org/reference/triad_census.html'>igraph::triad_census</a>
unfold.tree,<a href='https://r.igraph.org/reference/unfold_tree.html'>igraph::unfold_tree</a>
vertex.connectivity,<a href='https://r.igraph.org/reference/vertex_connectivity.html'>igraph::vertex_connectivity</a>
vertex.disjoint.paths,<a href='https://r.igraph.org/reference/vertex_connectivity.html'>igraph::vertex_disjoint_paths</a>
walktrap.community,<a href='https://r.igraph.org/reference/cluster_walktrap.html'>igraph::cluster_walktrap</a>
watts.strogatz.game,<a href='https://r.igraph.org/reference/sample_smallworld.html'>igraph::sample_smallworld</a>
write.graph,<a href='https://r.igraph.org/reference/write_graph.html'>igraph::write_graph</a>
graph.famous,<a href='https://r.igraph.org/reference/make_graph.html'>igraph::make_graph</a>
igraph.from.graphNEL,<a href='https://r.igraph.org/reference/graph_from_graphnel.html'>igraph::graph_from_graphnel</a>
igraph.to.graphNEL,<a href='https://r.igraph.org/reference/as_graphnel.html'>igraph::as_graphnel</a>
getIgraphOpt,<a href='https://r.igraph.org/reference/igraph_options.html'>igraph::igraph_opt</a>
igraph.options,<a href='https://r.igraph.org/reference/igraph_options.html'>igraph::igraph_options</a>
graph.intersection,<a href='https://r.igraph.org/reference/intersection.html'>igraph::intersection</a>
exportPajek,<a href='https://r.igraph.org/reference/cohesive_blocks.html'>igraph::export_pajek</a>
get.diameter,<a href='https://r.igraph.org/reference/diameter.html'>igraph::get_diameter</a>
get.all.shortest.paths,<a href='https://r.igraph.org/reference/distances.html'>igraph::all_shortest_paths</a>
get.shortest.paths,<a href='https://r.igraph.org/reference/distances.html'>igraph::shortest_paths</a>
graph,<a href='https://r.igraph.org/reference/make_graph.html'>igraph::make_graph</a>
vertex.shapes,<a href='https://r.igraph.org/reference/shapes.html'>igraph::shapes</a>
igraph.shape.noclip,<a href='https://r.igraph.org/reference/shapes.html'>igraph::shape_noclip</a>
igraph.shape.noplot,<a href='https://r.igraph.org/reference/shapes.html'>igraph::shape_noplot</a>
create.communities,<a href='https://r.igraph.org/reference/make_clusters.html'>igraph::make_clusters</a>
